date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,request_status
2019-02-08T00:00:00Z,83781,-9999,21,18.8,30.4,-9999,81,923.4,1011.7,18,3,-9999,10,1.5,71.75,1.366667,Success: (200) OK
2019-02-08T12:00:00Z,83781,0,19.8,18.5,-9999,17.8,88,924.4,1012.8,0,0,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-08T18:00:00Z,83781,-9999,29.3,19.1,-9999,-9999,37,922,1009.3,14,1.6,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-02-09T00:00:00Z,83781,-9999,22.2,19.9,32.3,-9999,81,924.1,1012.3,13,2.5,0,0,4.5,54.5,2.8,Success: (200) OK
2019-02-09T12:00:00Z,83781,0,24.7,20.3,-9999,18.3,64,925.2,1013.1,23,2.6,-9999,0,-9999,-9999,-9999,Success: (200) OK
2019-02-09T18:00:00Z,83781,-9999,31.6,20,-9999,-9999,32,923.3,1010.3,23,2.5,-9999,5,-9999,-9999,-9999,Success: (200) OK
2019-02-10T00:00:00Z,83781,-9999,23.7,18.6,32.5,-9999,61,924.2,1011.9,18,3.3,-9999,0,5,62.25,2.4,Success: (200) OK
2019-02-10T12:00:00Z,83781,0,26.5,21.2,-9999,18.8,61,924.5,1012,9,1.3,-9999,6,-9999,-9999,-9999,Success: (200) OK
2019-02-10T18:00:00Z,83781,-9999,32.2,22.4,-9999,-9999,42,922,1008.8,32,3.3,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-02-11T00:00:00Z,83781,-9999,25.9,22.3,32.8,-9999,73,924,1011.1,9,2.6,-9999,0,6.5,57,1.9,Success: (200) OK
2019-02-11T12:00:00Z,83781,0,26,21.5,-9999,21.8,66,925.7,1013.2,14,1.6,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-02-11T18:00:00Z,83781,-9999,31.9,23.6,-9999,-9999,48,923.3,1009.9,23,2.5,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-02-12T00:00:00Z,83781,-9999,29.5,23.1,29.5,-9999,57,923.3,1010.1,14,1.6,-9999,2,7.1,81,3.1,Success: (200) OK
2019-02-12T12:00:00Z,83781,0,24.3,21.5,-9999,21.7,78,925.4,1012.6,27,2,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-12T18:00:00Z,83781,-9999,27.2,21.9,-9999,-9999,62,923.6,1010.8,27,3.3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-13T00:00:00Z,83781,-9999,22,21.1,22.2,-9999,92,926.5,1014.4,23,4,-9999,10,4.3,84.5,2.533333,Success: (200) OK
2019-02-13T12:00:00Z,83781,6.8,20,18.5,-9999,18.8,87,916.4,1014.9,14,3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-13T18:00:00Z,83781,-9999,20.4,19.5,-9999,-9999,91,926.4,1014.6,14,3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-14T00:00:00Z,83781,-9999,19,16.8,24.2,-9999,80,927.7,1017.6,23,1.6,-9999,10,1.5,76.25,2.766667,Success: (200) OK
2019-02-14T12:00:00Z,83781,0.4,20.7,17.5,-9999,18.1,72,927.9,1016.8,9,2.5,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-14T18:00:00Z,83781,-9999,24,20.6,-9999,-9999,73,927,1011.5,9,2.5,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-15T00:00:00Z,83781,-9999,20.6,18.3,23.4,-9999,80,925.9,1014.5,18,3.3,-9999,10,3.1,92.75,2.9,Success: (200) OK
2019-02-15T12:00:00Z,83781,0,20,18.6,-9999,17.9,87,923.8,1012.2,9,1.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-15T18:00:00Z,83781,-9999,21,20.4,-9999,-9999,94,920.5,1008.6,5,3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-16T00:00:00Z,83781,-9999,20,19.5,24.8,-9999,95,920.2,1008.3,14,4.1,-9999,10,0.5,92.75,2.2,Success: (200) OK
2019-02-16T12:00:00Z,83781,39.2,20,19.7,-9999,18.9,97,920.3,1008.4,14,2,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-16T18:00:00Z,83781,-9999,24.4,22.1,-9999,-9999,82,919.8,1007.2,23,2.1,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-17T00:00:00Z,83781,-9999,20.2,19.8,25.4,-9999,96,920.4,1008.5,23,2.5,-9999,10,0.7,87.5,1.666667,Success: (200) OK
2019-02-17T12:00:00Z,83781,44.2,20.8,20.1,-9999,19.4,94,920.8,1008.9,14,2,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-17T18:00:00Z,83781,-9999,23.2,20.8,-9999,-9999,78,921.8,1009.2,14,3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-18T00:00:00Z,83781,-9999,21.5,20.3,30.2,-9999,89,922.5,1010.7,0,0,-9999,1,2.3,82,2.05,Success: (200) OK
2019-02-18T12:00:00Z,83781,2,23.5,20.7,-9999,19.7,78,927.5,1015.9,14,1.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-19T00:00:00Z,83781,-9999,24.2,22.1,31.2,-9999,84,924,1011.7,23,2.5,-9999,10,4.3,66,2.05,Success: (200) OK
2019-02-19T12:00:00Z,83781,0,24,20.9,-9999,20.9,75,925.2,1013,14,4.1,-9999,5,-9999,-9999,-9999,Success: (200) OK
2019-02-20T00:00:00Z,83781,-9999,26.5,21.3,29.4,-9999,62,921.7,1012.5,0,0,-9999,6,7.1,29,2.9,Success: (200) OK
2019-02-20T12:00:00Z,83781,0,25,21.5,-9999,21.5,73,926.8,1014.4,32,2.5,-9999,5,-9999,-9999,-9999,Success: (200) OK
2019-02-21T00:00:00Z,83781,-9999,22.5,20.3,28.6,-9999,81,924.2,1011.7,14,3.3,-9999,10,1.1,87,0,Success: (200) OK
2019-02-21T12:00:00Z,83781,10.6,23.2,21.3,-9999,20.2,84,926.3,1014.4,0,0,-9999,3,-9999,-9999,-9999,Success: (200) OK
2019-02-22T00:00:00Z,83781,-9999,20.8,19.8,29.6,-9999,91,926.4,1014.7,0,0,-9999,7,3.5,82,1.25,Success: (200) OK
2019-02-22T12:00:00Z,83781,13.2,23.5,21.5,-9999,20.3,85,928.1,1016.6,0,0,-9999,7,-9999,-9999,-9999,Success: (200) OK
